Unnamed: 0,name,description,country,year,genre
0.0,Сестрёнка,"Экранизация повести Мустая Карима “Радость нашего дома”.Действие картины разворачивается в годы Великой Отечественной войны. Осиротевшая украинская девочка Оксана, найденная в разоренном доме, обретает приют и новую семью в башкирской деревне. Отношения Оксаны с ее названным братом Ямилем и другими деревенскими ребятами поначалу складываются непросто. День за днем дети вместе борются с трудностями военного времени, которые их объединяют.",Россия,2019.0,"военный фильм, драма"
1.0,Шугалей-3,"После долгого плена в ливийской тюрьме «Митига» Максим Шугалей и Самер Суэйфан наконец-то возвращаются в Россию. Несколько месяцев спустя с Шугалеем связывается бывший управляющий банка в Триполи Фарид и предлагает встретиться в Египте — у него появилась новая информация о террористах в Ливии. Но встреча срывается… Чтобы помочь Фариду избежать тюрьмы, Максиму придется на время отложить свои планы.",Россия,2021.0,"боевик, приключения"
2.0,Женская логика - 1,"По мотивам одноименного романа Виктора Пронина.Работник издательства Ольга Петровна Туманова - страстная любительница детективов и сыщик по призванию. Она не ""опер"", не дознаватель, не следователь, но у нее есть свой способ поиска преступников - логика. Женская логика.",Россия,2002.0,"детектив, экранизация"
3.0,Доктор,"Основано на реальных событиях, по документальному роману Марии Ануфриевой «Доктор Х и его дети».Ночью в психо-неврологическом отделении для подростков происходит ужасное событие — едва не гибнет один из пациентов. Взрослые предполагают, что виновник ночного происшествия — кто-то из ребят. Врачи опасаются, что история повторится и закончится трагедией. Есть версия, что подростки по ночам играют в «собачий кайф», игру с удушением. Разобраться во всем и остановить смертельную игру должен Иван Христофоров — талантливый психиатр, который лечит своих юных пациентов не столько таблетками, сколько педагогическими методами. Но, оказывается, что найти виновника — это самое простое. Гораздо сложнее спасти его душу — это и становится главной целью Христофорова. Ради этого он готов пожертвовать всем: и интересами близких людей, и собственным здоровьем, и даже жизнью своей матери.",Россия,2022.0,драма
4.0,Жили-были,"Старинная деревня в русской глубинке. Из жителей только два одиноких немолодых мужчины и внезапно овдовевшая женщина. Один из друзей решает, что пора завязывать с одиночеством и собирается предложить вдове руку и сердце. Но второй мужчина в корне с этим не согласен и тоже претендует на вакантное место. Лучшие друзья объявляют друг другу войну.",Россия,2017.0,мелодрама
5.0,Дедушка,"У Ирины, медсестры из маленького городка, порок сердца. По прогнозам врачей её сердцу осталось биться недолго, а позаботиться о шестилетней дочери Анне некому. Ирина лихорадочно пытается найти выход, и у неё появляется мысль, что Аню мог бы взять на воспитание дедушка - отец молодого человека, бросившего Ирину беременной. Всё, что она знает о дедушке дочери, Игоре Васильевиче Дёмине, что он довольно успешный бизнесмен.Ирина отправляется в столицу, чтобы познакомить деда и внучку. Но Игорь Васильевич не готов быть дедушкой, он совсем не чувствует себя стариком. У него  хорошо идут дела в бизнесе, и он планирует жениться на девушке в два раза моложе его.  Игорь Васильевич не готов примириться с мыслью, что ему нужно заботиться о совершенно чужом ребёнке. Ирина вместе с дочерью возвращается домой ни с чем, а в это время  на Игоря Васильевича совершается покушение, после которого он начинает понимать, что маленькая Аня действительно нуждается в его поддержке.Игорь Васильевич сообщает Ирине, что готов забрать внучку к себе. А Ирина, прощаясь с дочерью, понимает, что видит ребенка, скорее всего, в последний раз. Но Аня не знает о болезни матери и, уезжая к дедушке, ожидает, что мама тоже скоро приедет к ним в гости.Маленькой Ане очень нравится жить у дедушки, но у того начинаются серьезные проблемы во взаимоотношениях с сыном Кириллом и молодой невестой Юлей. Он тяжело переживает разрыв с сыном, который решил покинуть их семейный бизнес, а Юля держится с Аней подчёркнуто холодно. Её раздражает, что внимание Игоря Васильевича переключилось на внучку, а их свадьба откладывается.","Россия, Украина",2016.0,мелодрама
6.0,Некрасивая подружка - 2. Чёрный кот,"Антонина Остапчук, которая была уверена, что умрет старой девой, идет знакомиться с родителями своего возлюбленного. Но это волнующее событие омрачается странным происшествием. Сосед Леонида, 6-летний мальчик Сережа, сообщает Тоне, что его отчим собирается убить начальника. На следующее утро выясняется, что этот человек на самом деле умер, однако причины смерти - самые естественные. Открыть уголовное дело невозможно, все советуют Тоне не обращать внимания на дурацкое совпадение. Между тем, мальчик уверяет, что отчим готовит новое убийство. И еще - у него в комнате живет черный кот, которого никто не видит. Все это похоже на детские фантазии, но Тоня чувствует, что дело гораздо серьезнее. И конечно, оказывается права.",Россия,2020.0,детектив
7.0,Идеальная пара,"Зоя – спортсменка с мужским характером. Поэтому представителям сильного пола с ней тяжело, и они от нее сбегают. Но Зоя мечтает выйти замуж и завести детей.Кеша – холостяк, живет с родителями. Родители требуют от него внуков, и однажды он уходит из дома с намерением жениться на первой встречной. Ею оказывается Зоя, которая решает, что сможет сделать из Кеши идеального мужа. Он предлагает Зое переделать друг друга: день она командует, день - он. И тут Кеша, наконец, находит женщину своей мечты, которая его понимает. А Зоя встречает отличного парня. Однако скоро обнаруживается, что ""переделка"" не прошла даром...",Россия,2014.0,мелодрама
8.0,От печали до радости,"Владимир Трифонов – глава семьи, передовик труда, победитель заводских конкурсов художественной самодеятельности – простой человек с добрым сердцем.Всё в его семье было хорошо, пока не пришла беда: младший сын Пашка влюбился в Любу Звонареву – женщину намного старше себя, да ещё и с тремя детьми!Мать Паши не смогла смириться с такой невесткой. Владимир вынужден вмешаться и попросить Любу прекратить отношения с его сыном. Но разве можно построить жизнь другого человека по своим правилам, не разрушив при этом его счастье и судьбу?..",Россия,2020.0,мелодрама
9.0,Ты есть...,"По повести Виктории Токаревой ""Я есть. Ты есть. Он есть"".Анна недавно потеряла мужа и смысл жизни для нее теперь заключается только в сыне. Неожиданно он приводит домой девушку-детдомовку, а утром объявляет, что они поженились. Ревность Анны приводит к тому, что молодые уходят из дома. Спустя какое-то время ребята попадают в тяжелую аварию, Ира парализована полностью и сын приносит ее к матери домой... Анна побеждает ревность и ненависть, проходит мучительный путь страдания, сострадания - и обретает подлинную любовь.","Россия, Франция",1993.0,"мелодрама, экранизация"
